2021-08-02 17:07:57.340 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\liujiwei\nacos\config
2021-08-02 17:07:57.489 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2021-08-02 17:07:57.522 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-wifi-upgrade-authority-dev.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-wifi-upgrade-authority.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-wifi-upgrade-authority,DEFAULT_GROUP'}]
2021-08-02 17:07:57.533 [main] INFO  c.s.w.a.permission.controller.UsersControllerTest - The following profiles are active: dev
2021-08-02 17:07:58.331 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-08-02 17:07:58.334 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-08-02 17:07:58.380 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 0 Redis repository interfaces.
2021-08-02 17:07:58.590 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=76afcfc6-dd56-3152-8661-3ce2c5e6ec10
2021-08-02 17:07:59.293 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-08-02 17:07:59.658 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-08-02 17:08:01.267 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-08-02 17:08:01.281 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
